Department,text,Subtype
Law Department (LAW),Requesting help with government pleader issue.,Government Pleader Issue
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),"Issue with veterinary doctor unavailable, please resolve.",Veterinary Doctor Unavailable
Special Programme Implementation (SPI),Complaint against SPI for announcement implementation.,Announcement Implementation
Law Department (LAW),Notary Public Complaint,Notary Public Complaint
School Education Department (SCHOOL),I have a complaint regarding school admission denied.,School Admission Denied
Special Programme Implementation (SPI),Complaint regarding Flagship Project Delay,Flagship Project Delay
Highways and Minor Ports Department (HWY),Requesting help with toll plaza excess fee.,Toll Plaza Excess Fee
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Veterinary Doctor Unavailable issue,Veterinary Doctor Unavailable
Youth Welfare and Sports Development Department (YOUTHSP),"Issue with sports scholarship, please resolve.",Sports Scholarship
Social Welfare and Women Empowerment Department (SWNM),Problem faced: child marriage reporting.,Child Marriage Reporting
Labour Welfare and Skill Development Department (LBREMP),Construction Workers Board,Construction Workers Board
Revenue and Disaster Management Department (REV),Urgent action needed on old age pension (oap).,Old Age Pension (OAP)
Labour Welfare and Skill Development Department (LBREMP),Complaint against LBREMP for construction workers board.,Construction Workers Board
Co-operation Food and Consumer Protection Department (FOODCO),Complaint against FOODCO for co-operative loan issue.,Co-operative Loan Issue
Information Technology Department (IT),My grievance is about government email issue.,Government Email Issue
Rural Development and Panchayat Raj Department (RDPR),Complaint regarding Gram Sabha Meeting,Gram Sabha Meeting
Rural Development and Panchayat Raj Department (RDPR),My grievance is about village road damaged.,Village Road Damaged
Tamil Dev. and Information Department (TAMINF),Complaint against TAMINF for government exhibition.,Government Exhibition
Micro Small and Medium Enterprises Department (MSME),Requesting help with mudra loan rejection.,MUDRA Loan Rejection
Water Resources Department (WRD),Complaint against WRD for water release for farming.,Water Release for Farming
Social Welfare and Women Empowerment Department (SWNM),Complaint regarding Widow Pension,Widow Pension
Home Prohibition and Excise Department (HOMEEXC),"Issue with cyber crime complaint, please resolve.",Cyber Crime Complaint
Human Resources Management Department (PAR),"Issue with govt job recruitment scam, please resolve.",Govt Job Recruitment Scam
Transport Department (TRANS),Overcrowding in Bus,Overcrowding in Bus
Home Prohibition and Excise Department (HOMEEXC),My grievance is about cyber crime complaint.,Cyber Crime Complaint
Planning Development Department (PLGDEV),My grievance is about state scheme implementation.,State Scheme Implementation
Adi Dravidar and Tribal Welfare Department (ADW),Urgent action needed on scholarship issue - adw.,Scholarship Issue - ADW
Municipal Administration and Water Supply Department (MAWS),Pothole Patchwork issue,Pothole Patchwork
Information Technology Department (IT),Complaint regarding Broadband Connectivity Infrastructure,Broadband Connectivity Infrastructure
School Education Department (SCHOOL),I have a complaint regarding teacher absenteeism.,Teacher Absenteeism
Highways and Minor Ports Department (HWY),We are suffering due to toll plaza excess fee.,Toll Plaza Excess Fee
Labour Welfare and Skill Development Department (LBREMP),Requesting help with minimum wages violation.,Minimum Wages Violation
Higher Education Department (HIGHEDU),Problem faced: professor vacancy.,Professor Vacancy
Social Welfare and Women Empowerment Department (SWNM),Report on marriage assistance scheme.,Marriage Assistance Scheme
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),We are suffering due to boat diesel subsidy.,Boat Diesel Subsidy
Agriculture and Farmers welfares Department (AGRI),My grievance is about crop insurance claim.,Crop Insurance Claim
BC MBC and Minorities Welfare Department (BCMBC),Problem faced: scholarship - bc/mbc.,Scholarship - BC/MBC
Industries Department (IND),Requesting help with factory closure notice.,Factory Closure Notice
Legislative Assembly Department (LEGIS),I have a complaint regarding assembly proceedings query.,Assembly Proceedings Query
Commercial Taxes and Registration Department (CTREG),Tax Refund Delay,Tax Refund Delay
Highways and Minor Ports Department (HWY),Complaint against HWY for toll plaza excess fee.,Toll Plaza Excess Fee
Tourism Culture and Religious Endowments Department (TOURCUL),Requesting help with hotel registration.,Hotel Registration
Commercial Taxes and Registration Department (CTREG),Guide Value Query,Guide Value Query
Tamil Dev. and Information Department (TAMINF),Please look into this memorial maintenance matter.,Memorial Maintenance
Municipal Administration and Water Supply Department (MAWS),I have a complaint regarding property tax issue.,Property Tax Issue
Human Resources Management Department (PAR),My grievance is about disciplinary action appeal.,Disciplinary Action Appeal
Public Department (PUBLIC),Please look into this protocol violation matter.,Protocol Violation
School Education Department (SCHOOL),"Issue with mid-day meal scheme, please resolve.",Mid-day Meal Scheme
Public Elections Department (ELECTION),Candidate Malpractice,Candidate Malpractice
Environment Climate Change and Forests Department (ENVFOR),Complaint regarding Industrial Pollution,Industrial Pollution
Energy Department (ENERGY),We are suffering due to new connection delay.,New Connection Delay
Youth Welfare and Sports Development Department (YOUTHSP),We are suffering due to sports kit request.,Sports Kit Request
Industries Department (IND),Complaint against IND for industrial subsidy delay.,Industrial Subsidy Delay
Planning Development Department (PLGDEV),I have a complaint regarding sdg goals monitoring.,SDG Goals Monitoring
Tamil Dev. and Information Department (TAMINF),I have a complaint regarding press/media accreditation.,Press/Media Accreditation
Social Welfare and Women Empowerment Department (SWNM),Please look into this widow pension matter.,Widow Pension
Health and Family Welfare Department (HEALTH),We are suffering due to sanitation in hospital.,Sanitation in Hospital
Home Prohibition and Excise Department (HOMEEXC),Prison Inmate Welfare,Prison Inmate Welfare
School Education Department (SCHOOL),Requesting help with rte seat allotment.,RTE Seat Allotment
Legislative Assembly Department (LEGIS),Report on mla office not open.,MLA Office Not Open
Water Resources Department (WRD),Please look into this water release for farming matter.,Water Release for Farming
Social Welfare and Women Empowerment Department (SWNM),Please look into this domestic violence helpline matter.,Domestic Violence Helpline
Higher Education Department (HIGHEDU),My grievance is about college infrastructure.,College Infrastructure
Public Works Department (PWD),"Issue with dam water release, please resolve.",Dam Water Release
Industries Department (IND),Please look into this industrial safety violation matter.,Industrial Safety Violation
Municipal Administration and Water Supply Department (MAWS),Problem faced: street light not working.,Street Light Not Working
Home Prohibition and Excise Department (HOMEEXC),Urgent action needed on cyber crime complaint.,Cyber Crime Complaint
Environment Climate Change and Forests Department (ENVFOR),Urgent action needed on plastic waste ban violation.,Plastic Waste Ban Violation
Water Resources Department (WRD),Requesting help with water release for farming.,Water Release for Farming
Municipal Administration and Water Supply Department (MAWS),My grievance is about no water supply.,No Water Supply
Rural Development and Panchayat Raj Department (RDPR),I have a complaint regarding nrega wages pending.,NREGA Wages Pending
Industries Department (IND),Problem faced: industrial subsidy delay.,Industrial Subsidy Delay
Rural Development and Panchayat Raj Department (RDPR),My grievance is about village water tank cleaning.,Village Water Tank Cleaning
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Powerloom Electricity Subsidy,Powerloom Electricity Subsidy
Public Department (PUBLIC),We are suffering due to freedom fighter pension.,Freedom Fighter Pension
Police Department,"Help needed urgently, crime happening",Law and Order General
Industries Department (IND),Industrial Subsidy Delay issue,Industrial Subsidy Delay
Tamil Dev. and Information Department (TAMINF),Requesting help with press/media accreditation.,Press/Media Accreditation
Youth Welfare and Sports Development Department (YOUTHSP),"Issue with sports kit request, please resolve.",Sports Kit Request
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Report on powerloom electricity subsidy.,Powerloom Electricity Subsidy
Health and Family Welfare Department (HEALTH),Doctor Absent in GH issue,Doctor Absent in GH
Law Department (LAW),Urgent action needed on notary public complaint.,Notary Public Complaint
Co-operation Food and Consumer Protection Department (FOODCO),Complaint against FOODCO for consumer court complaint.,Consumer Court Complaint
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Report on milk procurement price.,Milk Procurement Price
Adi Dravidar and Tribal Welfare Department (ADW),Hostel Facility - ADW,Hostel Facility - ADW
Information Technology Department (IT),Complaint regarding IT Park Facilities,IT Park Facilities
Tamil Dev. and Information Department (TAMINF),"Issue with press/media accreditation, please resolve.",Press/Media Accreditation
Co-operation Food and Consumer Protection Department (FOODCO),Please look into this co-operative loan issue matter.,Co-operative Loan Issue
Labour Welfare and Skill Development Department (LBREMP),My grievance is about skill training application.,Skill Training Application
